dataset,lambda_anchor,poison_rate,lambda_stage1_anchor,anchor_margin,anchor_scale,anchor_ema_momentum,clean_accuracy,attack_success_rate,defense_asr,corrected_asr,stage3_final_accuracy,stage3_final_target_accuracy,detection_recall,detection_precision,detection_f1,false_positive_rate,correction_rate,clean_suspicious,clean_total,clean_correction_applied,poison_valid_suspicious,poison_valid_total,poison_valid_correction_applied,attack_success_suspicious,attack_success_total,attack_success_correction_applied,attack_success_corrected_to_true,epoch,top_k,topk_accuracy,rac,test_target_accuracy,anchor_loss,stage3_result_directory
CIFAR10,0.25,0.05,0.5,0,1,1,0.4398,0.0211,0.0211,0.0211,0.4398,0.39,0.9804,0.6014,0.7455,0.5765,0.5803,5765,10000,5736,8739,9000,8739,8722,8896,8722,5162,44,4,0.9786,0.5638,0.836,0.1122,results/AVGuard/lambda_anchor_sensitivity/CIFAR10/lambda_anchor_0.25/stage3
CIFAR10,0.5,0.05,0.5,0,1,1,0.5118,0.015,0.015,0.015,0.5118,0.459,0.9855,0.641,0.7767,0.4954,0.6353,4954,10000,4921,8858,9000,8858,8853,8983,8853,5707,41,4,0.9777,0.6178,0.841,0.0992,results/AVGuard/lambda_anchor_sensitivity/CIFAR10/lambda_anchor_0.5/stage3
CIFAR10,0.75,0.05,0.5,0,1,1,0.5626,0.0133,0.0133,0.0133,0.5626,0.539,0.9868,0.6722,0.7997,0.4326,0.6602,4326,10000,4302,8875,9000,8875,8874,8993,8874,5937,73,4,0.9785,0.6482,0.824,0.0932,results/AVGuard/lambda_anchor_sensitivity/CIFAR10/lambda_anchor_0.75/stage3
IEEE-CIS-Fraud,0.25,0.25,0.5,0,1,1,0.8284,0.0959,0.0959,0.0959,0.8284,0.5592,0.9037,0.8847,0.8941,0.0782,0.9037,970,12398,969,7444,8265,7444,7444,8237,7444,7444,5,2,1,0.7891,0.6446,0.2415,results/AVGuard/lambda_anchor_sensitivity/IEEE_CIS_FRAUD/lambda_anchor_0.25/stage3
IEEE-CIS-Fraud,0.5,0.25,0.5,0,1,1,0.8234,0.0935,0.0935,0.0935,0.8234,0.5308,0.9063,0.8867,0.8964,0.0769,0.9063,953,12398,951,7470,8265,7470,7469,8241,7469,7469,5,2,1,0.7813,0.6402,0.2425,results/AVGuard/lambda_anchor_sensitivity/IEEE_CIS_FRAUD/lambda_anchor_0.5/stage3
IEEE-CIS-Fraud,0.75,0.25,0.5,0,1,1,0.8292,0.1054,0.1054,0.1054,0.8292,0.5628,0.8943,0.8679,0.8809,0.0903,0.8943,1120,12398,1117,7364,8265,7364,7363,8233,7363,7363,4,2,1,0.784,0.6951,0.2375,results/AVGuard/lambda_anchor_sensitivity/IEEE_CIS_FRAUD/lambda_anchor_0.75/stage3
NUSWIDE,0.25,0.1,0.3,0,1,1,0.7826,0.1116,0.1116,0.1116,0.7826,0.7261,0.8927,0.7613,0.8218,0.1896,0.7602,8854,46693,8847,30634,37064,30634,30064,33679,30064,25603,2,4,0.9953,0.7581,0.8649,0.536,results/AVGuard/lambda_anchor_sensitivity/NUSWIDE/lambda_anchor_0.25/stage3
NUSWIDE,0.5,0.1,0.3,0,1,1,0.7846,0.1082,0.1082,0.1082,0.7846,0.719,0.8975,0.7601,0.8231,0.185,0.7621,8636,46693,8630,30279,37064,30278,29581,32960,29580,25119,2,4,0.9966,0.7588,0.8621,0.5276,results/AVGuard/lambda_anchor_sensitivity/NUSWIDE/lambda_anchor_0.5/stage3
NUSWIDE,0.75,0.1,0.3,0,1,1,0.7843,0.1709,0.1709,0.1709,0.7843,0.7376,0.8159,0.5582,0.6629,0.1796,0.6217,8387,46693,8384,18225,37064,18225,14855,18208,14855,11320,1,4,0.9965,0.7218,0.8972,0.5265,results/AVGuard/lambda_anchor_sensitivity/NUSWIDE/lambda_anchor_0.75/stage3
PHISHING,0.25,0.25,0.7,0,1,1,0.9315,0.1365,0.1365,0.1365,0.9315,0.9355,0.8591,0.8376,0.8482,0.0558,0.8591,990,17730,990,5105,6130,5105,5105,5942,5105,5105,27,2,1,0.9106,0.9591,0.1557,results/AVGuard/lambda_anchor_sensitivity/PHISHING/lambda_anchor_0.25/stage3
PHISHING,0.5,0.25,0.7,0,1,1,0.9315,0.1387,0.1387,0.1387,0.9315,0.9385,0.8525,0.8401,0.8463,0.0514,0.8525,912,17730,909,4861,6130,4861,4850,5689,4850,4850,25,2,1,0.9118,0.9611,0.1529,results/AVGuard/lambda_anchor_sensitivity/PHISHING/lambda_anchor_0.5/stage3
PHISHING,0.75,0.25,0.7,0,1,1,0.9317,0.1351,0.1351,0.1351,0.9317,0.9343,0.8589,0.8407,0.8497,0.0536,0.8589,950,17730,948,5028,6130,5028,5026,5852,5026,5026,17,2,1,0.9103,0.9516,0.1576,results/AVGuard/lambda_anchor_sensitivity/PHISHING/lambda_anchor_0.75/stage3
