dataset,checkpoint,split,scope,client_id,count,mean,std,min,p50,p90,p95,p99,max,checkpoint_file,config
CIFAR10,final_latest,clean_test,all_client_positions,all,30000,25.6761,65.3856,4.30267e-05,2.61817,72.4716,135.983,336.875,1098.25,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,clean_test,remaining_client_positions,all,8552,2.32768,10.9912,6.4407e-05,0.551196,3.93267,7.90853,31.9535,566.946,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,clean_test,all_client_positions,0,10000,31.3409,86.6157,0.000176415,2.1988,85.2935,188.289,445.489,1098.25,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,clean_test,remaining_client_positions,0,3099,2.88731,16.1321,0.000176415,0.546679,4.08738,8.77241,43.6204,566.946,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,clean_test,all_client_positions,1,10000,32.0639,65.0006,4.30267e-05,4.41918,102.882,169.431,324.586,521.769,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,clean_test,remaining_client_positions,1,2061,1.87215,6.35911,0.000106071,0.56888,3.55315,6.00218,22.3603,185.941,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,clean_test,all_client_positions,2,10000,13.6235,29.6701,6.4407e-05,1.96838,41.5251,69.2746,143.231,358.749,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,clean_test,remaining_client_positions,2,3392,2.09319,6.46346,6.4407e-05,0.548696,4.03371,8.01502,30.201,115.885,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,poison_test,all_client_positions,all,30000,34.9939,63.6649,4.30267e-05,14.8475,66.8317,130.313,336.875,1098.25,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,poison_test,remaining_client_positions,all,16008,20.4321,36.2091,6.4407e-05,3.77115,48.8133,57.3235,128.056,999.609,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,poison_test,all_client_positions,0,10000,31.3409,86.6157,0.000176415,2.1988,85.2935,188.289,445.489,1098.25,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,poison_test,remaining_client_positions,0,5602,9.64764,46.7686,0.000176415,0.925856,12.5587,30.8701,222.619,999.609,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,poison_test,all_client_positions,1,10000,32.0639,65.0006,4.30267e-05,4.41918,102.882,169.431,324.586,521.769,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,poison_test,remaining_client_positions,1,5049,9.85956,28.713,0.000106071,1.56221,21.0023,46.7992,149.515,453.772,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,poison_test,all_client_positions,2,10000,41.5768,19.1577,6.4407e-05,41.7,55.7119,61.8992,86.9117,358.749,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,final_latest,poison_test,remaining_client_positions,2,5357,41.6746,13.2396,6.4407e-05,42.0159,55.259,60.7493,74.0564,140.018,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,all_client_positions,all,30000,6.30233,15.0738,1.27555e-05,1.25952,16.2694,31.0391,77.1914,269.854,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,remaining_client_positions,all,10044,1.03874,2.45887,1.27555e-05,0.416382,2.32531,3.69865,9.33261,76.4233,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,all_client_positions,0,10000,6.63687,17.6005,1.27555e-05,1.24832,16.0743,30.5422,88.8291,269.854,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,remaining_client_positions,0,3431,1.23001,2.93042,1.27555e-05,0.465356,2.70598,4.49128,13.4184,74.1972,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,all_client_positions,1,10000,9.27607,17.7331,0.00018526,2.04414,28.7639,47.2993,87.0322,192.923,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
