config,exit_code,start_time,end_time
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_0.5.json",0,"2026-04-20 11:41:09","2026-04-20 14:14:54"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_1.0.json",0,"2026-04-20 14:14:54","2026-04-20 16:57:26"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_2.0.json",0,"2026-04-20 16:57:26","2026-04-20 20:04:34"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_5.0.json",0,"2026-04-20 20:04:34","2026-04-20 21:59:01"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_0.5.json",0,"2026-04-20 21:59:01","2026-04-20 22:06:52"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_1.0.json",0,"2026-04-20 22:06:52","2026-04-20 22:15:46"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_2.0.json",0,"2026-04-20 22:15:46","2026-04-20 22:24:44"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_5.0.json",0,"2026-04-20 22:24:44","2026-04-20 22:33:11"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_0.5.json",0,"2026-04-20 22:33:11","2026-04-20 22:39:06"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_1.0.json",0,"2026-04-20 22:39:06","2026-04-20 22:45:14"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_2.0.json",0,"2026-04-20 22:45:14","2026-04-20 22:51:12"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_5.0.json",0,"2026-04-20 22:51:12","2026-04-20 22:57:09"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_0.5.json",0,"2026-04-20 22:57:09","2026-04-20 23:16:07"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_1.0.json",0,"2026-04-20 23:16:07","2026-04-20 23:34:55"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_2.0.json",0,"2026-04-20 23:34:56","2026-04-20 23:49:53"
"configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/NUSWIDE_3clients_noema_bounded_q_gamma_5.0.json",0,"2026-04-20 23:49:53","2026-04-21 00:06:31"
