dataset,gamma,stage3_confidence_mode,scope,status,epoch,best_epoch,clean_acc,topk_name,topk,asr,rac,recall,precision,f1,fpr,correction_rate,checkpoint_score,config,result_dir
CIFAR10,0.5000,bounded_relative_gap,final_epoch,ok,100.0000,,0.7034,4,0.9816,0.2048,0.6559,0.8971,0.4066,0.5596,0.2867,0.6151,0.7385,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_0.5
CIFAR10,0.5000,bounded_relative_gap,best_checkpoint,ok,100.0000,2.0000,0.6280,4,0.9609,0.0718,0.6677,0.9645,0.6357,0.7663,0.3666,0.6587,0.7504,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_0.5
CIFAR10,1.0000,bounded_relative_gap,final_epoch,ok,100.0000,,0.7042,4,0.9816,0.2234,0.6486,0.8971,0.4066,0.5596,0.2867,0.6174,0.7396,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_1.0
CIFAR10,1.0000,bounded_relative_gap,best_checkpoint,ok,100.0000,2.0000,0.6272,4,0.9609,0.0734,0.6713,0.9645,0.6357,0.7663,0.3666,0.6638,0.7519,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_1.0
CIFAR10,2.0000,bounded_relative_gap,final_epoch,ok,100.0000,,0.7046,4,0.9816,0.2482,0.6335,0.8971,0.4066,0.5596,0.2867,0.6174,0.7397,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_2.0
CIFAR10,2.0000,bounded_relative_gap,best_checkpoint,ok,100.0000,2.0000,0.6262,4,0.9609,0.0744,0.6713,0.9645,0.6357,0.7663,0.3666,0.6644,0.7517,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_2.0
CIFAR10,5.0000,bounded_relative_gap,final_epoch,ok,100.0000,,0.7041,4,0.9816,0.2671,0.6200,0.8971,0.4066,0.5596,0.2867,0.6184,0.7399,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_5.0
CIFAR10,5.0000,bounded_relative_gap,best_checkpoint,ok,100.0000,2.0000,0.6254,4,0.9609,0.0754,0.6682,0.9645,0.6357,0.7663,0.3666,0.6609,0.7503,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/CIFAR10_3clients_noema_bounded_q_gamma_5.0
PHISHING,0.5000,bounded_relative_gap,final_epoch,ok,50.0000,,0.9301,2,1.0000,0.1471,0.9078,0.8365,0.8139,0.8250,0.0565,0.8365,0.8677,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_0.5
PHISHING,0.5000,bounded_relative_gap,best_checkpoint,ok,50.0000,36.0000,0.9292,2,1.0000,0.1437,0.9078,0.8402,0.8145,0.8271,0.0565,0.8402,0.8699,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_0.5
