dataset,gamma,scope,status,epoch,best_epoch,clean_acc,topk_name,topk,asr,rac,recall,precision,f1,fpr,correction_rate,checkpoint_score,config,result_dir
CIFAR10,0.5000,final_epoch,ok,100.0000,,0.7054,4,0.9813,0.2859,0.6058,0.8887,0.3857,0.5379,0.2803,0.5929,0.7290,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_0.5
CIFAR10,0.5000,best_checkpoint,ok,100.0000,2.0000,0.6324,4,0.9609,0.0757,0.6684,0.9632,0.6429,0.7711,0.3546,0.6611,0.7522,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_0.5
CIFAR10,1.0000,final_epoch,ok,100.0000,,0.7077,4,0.9816,0.2801,0.6104,0.8940,0.4099,0.5621,0.2792,0.6159,0.7392,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_1.0
CIFAR10,1.0000,best_checkpoint,ok,100.0000,2.0000,0.6312,4,0.9609,0.0757,0.6684,0.9632,0.6429,0.7711,0.3546,0.6611,0.7518,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_1.0
CIFAR10,2.0000,final_epoch,ok,100.0000,,0.7075,4,0.9816,0.2802,0.6099,0.8940,0.4099,0.5621,0.2792,0.6146,0.7387,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0
CIFAR10,2.0000,best_checkpoint,ok,100.0000,2.0000,0.6304,4,0.9609,0.0757,0.6678,0.9632,0.6429,0.7711,0.3546,0.6607,0.7514,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0
CIFAR10,5.0000,final_epoch,ok,100.0000,,0.7077,4,0.9816,0.2802,0.6107,0.8940,0.4099,0.5621,0.2792,0.6166,0.7394,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_5.0
CIFAR10,5.0000,best_checkpoint,ok,100.0000,2.0000,0.6304,4,0.9609,0.0757,0.6664,0.9632,0.6429,0.7711,0.3546,0.6588,0.7508,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_5.0
PHISHING,0.5000,final_epoch,ok,50.0000,,0.9303,2,1.0000,0.1493,0.9076,0.8339,0.8158,0.8247,0.0556,0.8339,0.8660,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_0.5
PHISHING,0.5000,best_checkpoint,ok,50.0000,28.0000,0.9287,2,1.0000,0.1427,0.9076,0.8401,0.8104,0.8250,0.0574,0.8393,0.8694,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_0.5
PHISHING,1.0000,final_epoch,ok,50.0000,,0.9303,2,1.0000,0.1493,0.9076,0.8339,0.8158,0.8247,0.0556,0.8339,0.8660,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_1.0
PHISHING,1.0000,best_checkpoint,ok,50.0000,28.0000,0.9287,2,1.0000,0.1427,0.9076,0.8401,0.8104,0.8250,0.0574,0.8393,0.8694,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_1.0
