"dataset","joint_weighted_voting","result_type","status","errors","result_dir","epoch","configured_epochs","early_stop","client_num","lambda_anchor","stage3_enable_static_reliability","enable_stage1","top_k_label","clean_acc","topk","asr","rac","recall","precision","f1","fpr","correction_rate","checkpoint_score","pre_stage3_acc","anchor_loss","delta_clean_acc_vs_off","delta_topk_vs_off","delta_asr_vs_off","delta_rac_vs_off","delta_recall_vs_off","delta_precision_vs_off","delta_f1_vs_off","delta_fpr_vs_off","delta_correction_rate_vs_off","delta_checkpoint_score_vs_off","delta_clean_acc_vs_on","delta_topk_vs_on","delta_asr_vs_on","delta_rac_vs_on","delta_recall_vs_on","delta_precision_vs_on","delta_f1_vs_on","delta_fpr_vs_on","delta_correction_rate_vs_on","delta_checkpoint_score_vs_on"
"CIFAR10","on","final_epoch","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/CIFAR10_joint_voting_on","100","100","0","3","0.5","True","True","4","0.7024","0.9796","0.2999","0.5957","0.8760","0.3678","0.5180","0.2854","0.5779","0.7188","","0.1157","-0.0925","-0.0005","0.2036","-0.1457","-0.0062","-0.0210","-0.0217","-0.0002","0.0093","-0.0298","","","","","","","","","",""
"CIFAR10","on","best_checkpoint","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/CIFAR10_joint_voting_on","2","100","0","3","0.5","True","True","4","0.6273","0.9602","0.0697","0.6657","0.9639","0.6483","0.7752","0.3610","0.6581","0.7498","0.7423","0.1553","-0.1000","0.0000","-0.0273","-0.0196","0.0000","0.0000","0.0000","0.0000","0.0125","-0.0292","","","","","","","","","",""
"CIFAR10","off","final_epoch","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/CIFAR10_joint_voting_off","100","100","0","3","0.5","True","True","4","0.7949","0.9801","0.0963","0.7414","0.8822","0.3888","0.5397","0.2856","0.5686","0.7486","","0.1156","","","","","","","","","","","0.0925","0.0005","-0.2036","0.1457","0.0062","0.0210","0.0217","0.0002","-0.0093","0.0298"
"CIFAR10","off","best_checkpoint","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/CIFAR10_joint_voting_off","2","100","0","3","0.5","True","True","4","0.7273","0.9602","0.0970","0.6853","0.9639","0.6483","0.7752","0.3610","0.6456","0.7789","0.7423","0.1553","","","","","","","","","","","0.1000","0.0000","0.0273","0.0196","0.0000","0.0000","0.0000","0.0000","-0.0125","0.0292"
"PHISHING","on","final_epoch","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/PHISHING_joint_voting_on","50","50","0","3","0.5","True","True","2","0.9318","1.0000","0.1535","0.9076","0.8316","0.8276","0.8296","0.0530","0.8311","0.8648","","0.0259","-0.0016","0.0000","-0.0016","-0.0004","-0.0062","0.0060","0.0000","-0.0024","0.0010","-0.0023","","","","","","","","","",""
"PHISHING","on","best_checkpoint","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/PHISHING_joint_voting_on","14","50","0","3","0.5","True","True","2","0.9277","1.0000","0.1305","0.9046","0.8454","0.8220","0.8335","0.0514","0.8454","0.8728","0.9571","0.0292","-0.0006","0.0000","-0.0122","-0.0022","-0.0010","0.0116","0.0055","-0.0081","0.0036","0.0007","","","","","","","","","",""
"PHISHING","off","final_epoch","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/PHISHING_joint_voting_off","50","50","0","3","0.5","True","True","2","0.9334","1.0000","0.1551","0.9080","0.8378","0.8216","0.8296","0.0554","0.8301","0.8671","","0.0260","","","","","","","","","","","0.0016","0.0000","0.0016","0.0004","0.0062","-0.0060","0.0000","0.0024","-0.0010","0.0023"
"PHISHING","off","best_checkpoint","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/PHISHING_joint_voting_off","18","50","0","3","0.5","True","True","2","0.9283","1.0000","0.1427","0.9068","0.8463","0.8105","0.8280","0.0596","0.8417","0.8721","0.9582","0.0286","","","","","","","","","","","0.0006","0.0000","0.0122","0.0022","0.0010","-0.0116","-0.0055","0.0081","-0.0036","-0.0007"
"IEEE_CIS_FRAUD","on","final_epoch","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/IEEE_CIS_FRAUD_joint_voting_on","50","50","0","3","0.5","False","False","2","0.8064","1.0000","0.2030","0.7485","0.8009","0.6988","0.7464","0.2291","0.7970","0.8014","","0.6554","-0.0321","0.0000","-0.0770","0.0526","0.0000","0.0000","0.0000","0.0000","0.0773","0.0150","","","","","","","","","",""
"IEEE_CIS_FRAUD","on","best_checkpoint","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/IEEE_CIS_FRAUD_joint_voting_on","38","50","0","3","0.5","False","False","2","0.8002","1.0000","0.1978","0.7514","0.8069","0.6851","0.7410","0.2458","0.8024","0.8032","0.8693","0.7170","-0.0384","0.0000","-0.0817","0.0556","0.0000","0.0000","0.0000","0.0000","0.0822","0.0146","","","","","","","","","",""
"IEEE_CIS_FRAUD","off","final_epoch","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/IEEE_CIS_FRAUD_joint_voting_off","50","50","0","3","0.5","False","False","2","0.8385","1.0000","0.2800","0.6959","0.8009","0.6988","0.7464","0.2291","0.7197","0.7864","","0.6554","","","","","","","","","","","0.0321","0.0000","0.0770","-0.0526","0.0000","0.0000","0.0000","0.0000","-0.0773","-0.0150"
"IEEE_CIS_FRAUD","off","best_checkpoint","complete","","results/AVGuard/stage3_joint_weighted_voting_ablation/IEEE_CIS_FRAUD_joint_voting_off","38","50","0","3","0.5","False","False","2","0.8386","1.0000","0.2795","0.6958","0.8069","0.6851","0.7410","0.2458","0.7202","0.7886","0.8693","0.7170","","","","","","","","","","","0.0384","0.0000","0.0817","-0.0556","0.0000","0.0000","0.0000","0.0000","-0.0822","-0.0146"
