dataset,stage3_enable_static_reliability,scope,status,epoch,best_epoch,clean_acc,topk_name,topk,asr,rac,recall,precision,f1,fpr,correction_rate,checkpoint_score,result_dir
CIFAR10,on,final_epoch,ok,100.0000,,0.5427,4,0.9805,0.4871,0.4263,0.9666,0.1761,0.2979,0.5033,0.5496,0.6863,results/AVGuard/stage3_static_reliability_ablation_4clients/CIFAR10_4clients_static_reliability_on
CIFAR10,on,best_checkpoint,ok,100.0000,26.0000,0.5358,4,0.9796,0.4271,0.4571,0.9784,0.2235,0.3638,0.5145,0.5802,0.6981,results/AVGuard/stage3_static_reliability_ablation_4clients/CIFAR10_4clients_static_reliability_on
CIFAR10,off,final_epoch,ok,100.0000,,0.5426,4,0.9805,0.4872,0.4269,0.9666,0.1761,0.2979,0.5033,0.5529,0.6874,results/AVGuard/stage3_static_reliability_ablation_4clients/CIFAR10_4clients_static_reliability_off
CIFAR10,off,best_checkpoint,ok,100.0000,26.0000,0.5363,4,0.9796,0.4272,0.4567,0.9784,0.2235,0.3638,0.5145,0.5787,0.6978,results/AVGuard/stage3_static_reliability_ablation_4clients/CIFAR10_4clients_static_reliability_off
PHISHING,on,final_epoch,ok,50.0000,,0.9032,2,1.0000,0.1232,0.9066,0.8226,0.6382,0.7187,0.0902,0.8226,0.8495,results/AVGuard/stage3_static_reliability_ablation_4clients/PHISHING_4clients_static_reliability_on
PHISHING,on,best_checkpoint,ok,50.0000,17.0000,0.9014,2,1.0000,0.1155,0.9068,0.8405,0.6501,0.7331,0.0931,0.8397,0.8606,results/AVGuard/stage3_static_reliability_ablation_4clients/PHISHING_4clients_static_reliability_on
PHISHING,off,final_epoch,ok,50.0000,,0.9032,2,1.0000,0.1232,0.9066,0.8226,0.6382,0.7187,0.0902,0.8226,0.8495,results/AVGuard/stage3_static_reliability_ablation_4clients/PHISHING_4clients_static_reliability_off
PHISHING,off,best_checkpoint,ok,50.0000,17.0000,0.9014,2,1.0000,0.1155,0.9068,0.8405,0.6501,0.7331,0.0931,0.8397,0.8606,results/AVGuard/stage3_static_reliability_ablation_4clients/PHISHING_4clients_static_reliability_off
IEEE_CIS_FRAUD,on,final_epoch,ok,50.0000,,0.7854,2,1.0000,0.0255,0.7955,0.9786,0.7729,0.8636,0.1841,0.9786,0.9142,results/AVGuard/stage3_static_reliability_ablation_4clients/IEEE_CIS_FRAUD_4clients_static_reliability_on
IEEE_CIS_FRAUD,on,best_checkpoint,ok,50.0000,5.0000,0.7899,2,1.0000,0.0224,0.7986,0.9807,0.8165,0.8911,0.1382,0.9807,0.9171,results/AVGuard/stage3_static_reliability_ablation_4clients/IEEE_CIS_FRAUD_4clients_static_reliability_on
IEEE_CIS_FRAUD,off,final_epoch,ok,50.0000,,0.7854,2,1.0000,0.0255,0.7955,0.9786,0.7729,0.8636,0.1841,0.9786,0.9142,results/AVGuard/stage3_static_reliability_ablation_4clients/IEEE_CIS_FRAUD_4clients_static_reliability_off
IEEE_CIS_FRAUD,off,best_checkpoint,ok,50.0000,5.0000,0.7899,2,1.0000,0.0224,0.7986,0.9807,0.8165,0.8911,0.1382,0.9807,0.9171,results/AVGuard/stage3_static_reliability_ablation_4clients/IEEE_CIS_FRAUD_4clients_static_reliability_off
NUSWIDE,on,final_epoch,ok,50.0000,,0.6190,4,0.9950,0.4411,0.4812,0.6119,0.0490,0.0908,0.4062,0.3396,0.5235,results/AVGuard/stage3_static_reliability_ablation_4clients/NUSWIDE_4clients_static_reliability_on
NUSWIDE,on,best_checkpoint,ok,50.0000,2.0000,0.5873,4,0.9964,0.2701,0.6056,0.8799,0.3602,0.5111,0.4276,0.6873,0.7182,results/AVGuard/stage3_static_reliability_ablation_4clients/NUSWIDE_4clients_static_reliability_on
NUSWIDE,off,final_epoch,ok,50.0000,,0.6190,4,0.9950,0.4414,0.4811,0.6119,0.0490,0.0908,0.4062,0.3377,0.5229,results/AVGuard/stage3_static_reliability_ablation_4clients/NUSWIDE_4clients_static_reliability_off
NUSWIDE,off,best_checkpoint,ok,50.0000,2.0000,0.5871,4,0.9964,0.2702,0.6051,0.8799,0.3602,0.5111,0.4276,0.6863,0.7178,results/AVGuard/stage3_static_reliability_ablation_4clients/NUSWIDE_4clients_static_reliability_off
