theta_supp,dataset,clean_accuracy,attack_success_rate,defense_asr,corrected_asr,detection_recall,detection_precision,detection_f1,false_positive_rate,correction_rate,valid_support_rate,support_detection_rate,avg_valid_support_count,clean_suspicious,clean_total,poison_valid_suspicious,poison_valid_total,attack_success_suspicious,attack_success_total,attack_success_corrected_to_true,stage3_result_directory
0.05,CIFAR10,0.7262,0.0474,0.0474,0.0474,0.9522,0.7769,0.8557,0.2431,0.7912,,,,2431,10000,8474,9000,8472,8897,6703,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.05/CIFAR10/stage3
0.05,IEEE_CIS_FRAUD,0.8266,0.0923,0.0923,0.0923,0.9073,0.8984,0.9029,0.0682,1,,,,845,12398,7472,8265,7472,8235,7472,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.05/IEEE_CIS_FRAUD/stage3
0.05,NUSWIDE,0.7892,0.178,0.178,0.178,0.8518,0.5801,0.6902,0.1855,0.8513,,,,8661,46693,24171,37064,19047,22360,16214,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.05/NUSWIDE/stage3
0.05,PHISHING,0.8961,0.0587,0.0587,0.0587,0.9372,0.7192,0.8138,0.1049,0.9996,,,,1860,17730,4881,6130,4848,5173,4846,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.05/PHISHING/stage3
0.1,CIFAR10,0.7193,0.0507,0.0507,0.0507,0.9495,0.7635,0.8464,0.26,0.7839,,,,2600,10000,8437,9000,8427,8875,6606,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.10/CIFAR10/stage3
0.1,IEEE_CIS_FRAUD,0.8279,0.1073,0.1073,0.1073,0.8924,0.8811,0.8867,0.0799,1,,,,991,12398,7349,8265,7348,8234,7348,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.10/IEEE_CIS_FRAUD/stage3
0.1,NUSWIDE,0.7868,0.1201,0.1201,0.1201,0.8887,0.7277,0.8002,0.1864,0.8503,,,,8705,46693,28177,37064,26840,30203,22823,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.10/NUSWIDE/stage3
0.1,PHISHING,0.8866,0.0519,0.0519,0.0519,0.9454,0.7104,0.8112,0.1132,0.9974,,,,2007,17730,4986,6130,4968,5255,4955,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.10/PHISHING/stage3
0.15,CIFAR10,0.7085,0.0444,0.0444,0.0444,0.9552,0.7482,0.8391,0.278,0.7747,,,,2780,10000,8302,9000,8291,8680,6423,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.15/CIFAR10/stage3
0.15,IEEE_CIS_FRAUD,0.8259,0.0998,0.0998,0.0998,0.8998,0.8898,0.8948,0.074,1,,,,918,12398,7411,8265,7411,8236,7411,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.15/IEEE_CIS_FRAUD/stage3
0.15,NUSWIDE,0.7868,0.1203,0.1203,0.1203,0.8869,0.7195,0.7945,0.1839,0.8324,,,,8589,46693,27546,37064,25999,29314,21641,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.15/NUSWIDE/stage3
0.15,PHISHING,0.8957,0.0666,0.0666,0.0666,0.9276,0.7137,0.8067,0.1012,0.9989,,,,1794,17730,4630,6130,4585,4943,4580,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.15/PHISHING/stage3
0.2,CIFAR10,0.6981,0.0499,0.0499,0.0499,0.9557,0.7178,0.8198,0.2972,0.7545,,,,2972,10000,7885,9000,7793,8154,5880,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.20/CIFAR10/stage3
0.2,IEEE_CIS_FRAUD,0.8273,0.1013,0.1013,0.1013,0.8987,0.8697,0.8839,0.0894,0.9999,,,,1109,12398,7407,8265,7406,8241,7405,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.20/IEEE_CIS_FRAUD/stage3
0.2,NUSWIDE,0.7848,0.1151,0.1151,0.1151,0.8872,0.7501,0.8129,0.1849,0.8411,,,,8635,46693,29379,37064,28515,32139,23983,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.20/NUSWIDE/stage3
0.2,PHISHING,0.8847,0.0524,0.0524,0.0524,0.9499,0.7055,0.8097,0.1186,0.9935,,,,2102,17730,5104,6130,5084,5352,5051,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.20/PHISHING/stage3
0.25,CIFAR10,0.6963,0.043,0.043,0.043,0.957,0.7414,0.8355,0.2986,0.7771,,,,2986,10000,8564,9000,8563,8948,6654,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.25/CIFAR10/stage3
0.25,IEEE_CIS_FRAUD,0.8293,0.0995,0.0995,0.0995,0.9001,0.8806,0.8902,0.081,1,,,,1004,12398,7403,8265,7403,8225,7403,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.25/IEEE_CIS_FRAUD/stage3
0.25,NUSWIDE,0.7824,0.2084,0.2084,0.2084,0.8312,0.4372,0.573,0.1876,0.8518,,,,8759,46693,24952,37064,14739,17732,12555,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.25/NUSWIDE/stage3
0.25,PHISHING,0.8933,0.0564,0.0564,0.0564,0.9445,0.7116,0.8117,0.1138,0.9938,,,,2017,17730,5045,6130,5025,5320,4994,results/AVGuard/threeclient_full_avguard_fixed_lambda_anchor_theta_supp_sensitivity/theta_supp_0.25/PHISHING/stage3
